"RegionID","RegionName","State","Metro","CountyName","SizeRank"
5772,"Manchester","NH","Manchester-Nashua","Hillsborough County",322
26900,"Saint Augustine","FL","Jacksonville","Saint Johns County",323
31209,"Delray Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",324
25659,"Lowell","MA","Boston-Cambridge-Newton","Middlesex County",325
34671,"Waterbury","CT","New Haven-Milford","New Haven County",326
7858,"West Palm Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",327
3975,"Carlsbad","CA","San Diego-Carlsbad","San Diego County",328
17943,"Elgin","IL","Chicago-Naperville-Elgin","Kane County",329
13712,"Santa Barbara","CA","Santa Maria-Santa Barbara","Santa Barbara County",330
35593,"Laurel","MD","Washington-Arlington-Alexandria","Prince Georges County",331
3934,"Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",332
18073,"Fargo","ND","Fargo","Cass County",333
41641,"West Jordan","UT","Salt Lake City","Salt Lake County",334
11726,"Greenville","NC","Greenville","Pitt County",335
19172,"Manassas","VA","Washington-Arlington-Alexandria","Prince William County",336
11914,"Hillsboro","OR","Portland-Vancouver-Hillsboro","Washington County",337
45548,"Green Bay","WI","Green Bay","Brown County",338
53787,"Palm Bay","FL","Palm Bay-Melbourne-Titusville","Brevard County",339
54121,"Richardson","TX","Dallas-Fort Worth-Arlington","Dallas County",340
41629,"West Chester","PA","Philadelphia-Camden-Wilmington","Chester County",341
53636,"Norwalk","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",342
7680,"Vero Beach","FL","Sebastian-Vero Beach","Indian River County",343
19903,"Peoria","IL","Peoria","Peoria County",344
44515,"Centennial","CO","Denver-Aurora-Lakewood","Arapahoe County",345
11140,"Douglasville","GA","Atlanta-Sandy Springs-Roswell","Douglas County",346
16780,"Antioch","CA","San Francisco-Oakland-Hayward","Contra Costa County",347
13256,"Perris","CA","Riverside-San Bernardino-Ontario","Riverside County",348
27228,"Springfield","VA","Washington-Arlington-Alexandria","Fairfax County",349
18053,"Fairfield","CA","Vallejo-Fairfield","Solano County",350
4301,"Davenport","IA","Davenport-Moline-Rock Island","Scott County",351
5595,"Lehigh Acres","FL","Cape Coral-Fort Myers","Lee County",352
4626,"Everett","WA","Seattle-Tacoma-Bellevue","Snohomish County",353
27942,"Wichita Falls","TX","Wichita Falls","Wichita County",354
11335,"Erie","PA","Erie","Erie County",355
26575,"Pompano Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",356
13698,"San Leandro","CA","San Francisco-Oakland-Hayward","Alameda County",357
6790,"Riverview","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",358
396054,"Burbank","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",359
41446,"Vacaville","CA","Vallejo-Fairfield","Solano County",360
32629,"Madera","CA","Madera","Madera County",361
37074,"Albany","NY","Albany-Schenectady-Troy","Albany County",362
31819,"Grand Junction","CO","Grand Junction","Mesa County",363
